Date,Open,High,Low,Close,Adj Close,Volume
1/7/2019,101.639999,103.269997,100.980003,102.059998,96.915878,35656100
1/8/2019,103.040001,103.970001,101.709999,102.800003,97.618599,31514400
1/9/2019,103.860001,104.879997,103.239998,104.269997,99.014496,32280800
1/10/2019,103.220001,103.75,102.379997,103.599998,98.378273,30067600
1/11/2019,103.190002,103.440002,101.639999,102.800003,97.618599,28314200
1/14/2019,101.900002,102.870003,101.260002,102.050003,96.90641,28437100
1/15/2019,102.510002,105.050003,101.879997,105.010002,99.717209,31587600
1/16/2019,105.260002,106.260002,104.959999,105.379997,100.068542,29853900
1/17/2019,105,106.629997,104.760002,106.120003,100.771255,28393000
1/18/2019,107.459999,107.900002,105.910004,107.709999,102.281105,37427600
1/22/2019,106.75,107.099998,104.860001,105.68,100.353409,32371300
1/23/2019,106.120003,107.040001,105.339996,106.709999,101.331512,25874300
1/24/2019,106.860001,107,105.339996,106.199997,100.847221,23164800
1/25/2019,107.239998,107.879997,106.199997,107.169998,101.768318,31225600
1/28/2019,106.260002,106.480003,104.660004,105.080002,99.783684,29476700
1/29/2019,104.879997,104.970001,102.169998,102.940002,97.751526,31490500
1/30/2019,104.620003,106.379997,104.330002,106.379997,101.018143,49471900
1/31/2019,103.800003,105.220001,103.18,104.43,99.166443,55636400
2/1/2019,103.779999,104.099998,102.349998,102.779999,97.599594,35535700
2/4/2019,102.870003,105.800003,102.769997,105.739998,100.410416,31315100
2/5/2019,106.059998,107.269997,105.959999,107.220001,101.815826,27325400
2/6/2019,107,107,105.529999,106.029999,100.685791,20609800
2/7/2019,105.190002,105.589996,104.290001,105.269997,99.964104,29760700
2/8/2019,104.389999,105.779999,104.260002,105.669998,100.343933,21461100
2/11/2019,106.199997,106.580002,104.970001,105.25,99.945091,18914100
2/12/2019,106.139999,107.139999,105.480003,106.889999,101.502449,25056600
2/13/2019,107.5,107.779999,106.709999,106.809998,101.426476,18394900
2/14/2019,106.309998,107.290001,105.660004,106.900002,101.511932,21784700
2/15/2019,107.910004,108.300003,107.360001,108.220001,102.765427,26606900
2/19/2019,107.790001,108.660004,107.779999,108.169998,102.717941,18038500
2/20/2019,107.860001,107.940002,106.290001,107.150002,102.183884,21607700
2/21/2019,106.900002,109.480003,106.870003,109.410004,104.339134,29063200
2/22/2019,110.050003,111.199997,109.82,110.970001,105.826836,27763200
2/25/2019,111.760002,112.18,111.260002,111.589996,106.418076,23750600
2/26/2019,111.260002,113.239998,111.169998,112.360001,107.15242,21536700
2/27/2019,111.690002,112.360001,110.879997,112.169998,106.971222,21487100
2/28/2019,112.040001,112.879997,111.730003,112.029999,106.837715,29083900
3/1/2019,112.889999,113.019997,111.669998,112.529999,107.314522,23501200
3/4/2019,113.019997,113.25,110.800003,112.260002,107.05706,26608000
3/5/2019,112.25,112.389999,111.230003,111.699997,106.523018,19538300
3/6/2019,111.870003,112.660004,111.43,111.75,106.570686,17687000
3/7/2019,111.400002,111.550003,109.870003,110.389999,105.273705,25339000
3/8/2019,109.160004,110.709999,108.800003,110.510002,105.388168,22818400
3/11/2019,110.989998,112.949997,110.980003,112.830002,107.600624,26491600
3/12/2019,112.82,113.989998,112.650002,113.620003,108.354004,26132700
3/13/2019,114.129997,115,113.779999,114.5,109.193214,35513800
3/14/2019,114.540001,115.199997,114.330002,114.589996,109.279068,30763400
3/15/2019,115.339996,117.25,114.589996,115.910004,110.537888,54681100
3/18/2019,116.169998,117.610001,116.050003,117.57,112.120934,31207600
3/19/2019,118.089996,118.440002,116.989998,117.650002,112.197212,37588700
3/20/2019,117.389999,118.75,116.709999,117.519997,112.07325,28113300
3/21/2019,117.139999,120.82,117.089996,120.220001,114.648117,29854400
3/22/2019,119.5,119.589996,117.040001,117.050003,111.625061,33624500
3/25/2019,116.559998,118.010002,116.32,117.660004,112.206764,27067100
3/26/2019,118.620003,118.709999,116.849998,117.910004,112.44516,26097700
3/27/2019,117.879997,118.209999,115.519997,116.769997,111.358017,22733400
3/28/2019,117.440002,117.580002,116.129997,116.93,111.510612,18334800
3/29/2019,118.07,118.32,116.959999,117.940002,112.473778,25399800
4/1/2019,118.949997,119.110001,118.099998,119.019997,113.503731,22789100
4/2/2019,119.059998,119.480003,118.519997,119.190002,113.665871,18142300
4/3/2019,119.860001,120.43,119.150002,119.970001,114.409698,22860700
4/4/2019,120.099998,120.230003,118.379997,119.360001,113.82798,20112800
4/5/2019,119.389999,120.230003,119.370003,119.889999,114.333412,15826200
4/8/2019,119.809998,120.019997,118.639999,119.93,114.371559,15116200
4/9/2019,118.629997,119.540001,118.580002,119.279999,113.751686,17612000
4/10/2019,119.760002,120.349998,119.540001,120.190002,114.619522,16477200
